
start_station_name,end_station_name,subscriber_count,customer_count,total_count
San Francisco Caltrain (Townsend at 4th),Beale at Market,2072,53,2125
Temporary Transbay Terminal (Howard at Beale),Townsend at 7th,2083,40,2123
Embarcadero at Bryant,Harry Bridges Plaza (Ferry Building),1696,406,2102
Temporary Transbay Terminal (Howard at Beale),5th at Howard,2007,73,2080
Steuart at Market,Embarcadero at Bryant,1888,155,2043
Embarcadero at Sansome,San Francisco Caltrain (Townsend at 4th),1595,428,2023
Market at Sansome,San Francisco Caltrain 2 (330 Townsend),1875,78,1953
Embarcadero at Folsom,2nd at Townsend,1682,249,1931
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain 2 (330 Townsend),1772,142,1914
San Francisco Caltrain (Townsend at 4th),Clay at Battery,1857,48,1905
San Francisco Caltrain (Townsend at 4th),5th at Howard,1727,142,1869
Harry Bridges Plaza (Ferry Building),Townsend at 7th,1733,125,1858
Beale at Market,Broadway St at Battery St,1828,26,1854
Townsend at 7th,Temporary Transbay Terminal (Howard at Beale),1812,39,1851
Embarcadero at Sansome,Temporary Transbay Terminal (Howard at Beale),1725,109,1834
Harry Bridges Plaza (Ferry Building),Embarcadero at Vallejo,965,868,1833
Mechanics Plaza (Market at Battery),San Francisco Caltrain (Townsend at 4th),1761,67,1828
San Francisco Caltrain (Townsend at 4th),Spear at Folsom,1758,66,1824
South Van Ness at Market,San Francisco Caltrain 2 (330 Townsend),1750,69,1819
Market at Sansome,Embarcadero at Sansome,1168,636,1804
San Francisco Caltrain (Townsend at 4th),Embarcadero at Vallejo,1663,131,1794
San Francisco Caltrain (Townsend at 4th),2nd at Folsom,1693,89,1782
Commercial at Montgomery,San Francisco Caltrain (Townsend at 4th),1690,80,1770
Steuart at Market,Embarcadero at Vallejo,1533,206,1739
Harry Bridges Plaza (Ferry Building),Embarcadero at Bryant,1453,276,1729
Beale at Market,Embarcadero at Sansome,1373,318,1691
Market at 4th,Temporary Transbay Terminal (Howard at Beale),1631,45,1676
San Jose Diridon Caltrain Station,San Pedro Square,1598,78,1676
Spear at Folsom,2nd at Townsend,1571,90,1661
San Antonio Caltrain Station,San Antonio Shopping Center,1590,71,1661
2nd at Townsend,Townsend at 7th,1547,109,1656
Temporary Transbay Terminal (Howard at Beale),Commercial at Montgomery,1637,18,1655
San Antonio Shopping Center,San Antonio Caltrain Station,1610,43,1653
Harry Bridges Plaza (Ferry Building),2nd at South Park,1498,153,1651
