
start_station_name,end_station_name,subscriber_count,customer_count,total_count
Market at Sansome,Civic Center BART (7th at Market),571,69,640
Clay at Battery,Grant Avenue at Columbus Avenue,533,107,640
Clay at Battery,San Francisco Caltrain 2 (330 Townsend),609,31,640
Commercial at Montgomery,Market at 4th,552,86,638
Market at 4th,Beale at Market,536,101,637
Beale at Market,Market at 4th,512,117,629
Post at Kearny,Harry Bridges Plaza (Ferry Building),504,125,629
South Van Ness at Market,Post at Kearny,606,22,628
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Vallejo,531,96,627
Stanford in Redwood City,Redwood City Caltrain Station,580,47,627
Grant Avenue at Columbus Avenue,Grant Avenue at Columbus Avenue,117,508,625
Embarcadero at Bryant,Clay at Battery,561,63,624
Market at 10th,Mechanics Plaza (Market at Battery),569,54,623
Temporary Transbay Terminal (Howard at Beale),Grant Avenue at Columbus Avenue,585,38,623
Harry Bridges Plaza (Ferry Building),Powell at Post (Union Square),209,412,621
San Francisco Caltrain (Townsend at 4th),Golden Gate at Polk,585,34,619
Harry Bridges Plaza (Ferry Building),Commercial at Montgomery,539,80,619
Commercial at Montgomery,Powell Street BART,554,61,615
5th at Howard,Market at Sansome,567,48,615
San Jose Diridon Caltrain Station,San Jose City Hall,568,47,615
San Francisco Caltrain 2 (330 Townsend),Commercial at Montgomery,590,23,613
Steuart at Market,Mechanics Plaza (Market at Battery),556,57,613
Golden Gate at Polk,Market at Sansome,555,57,612
Embarcadero at Sansome,Spear at Folsom,514,97,611
Post at Kearny,2nd at South Park,568,41,609
San Francisco City Hall,San Francisco Caltrain 2 (330 Townsend),570,34,604
Grant Avenue at Columbus Avenue,Powell at Post (Union Square),337,267,604
Temporary Transbay Terminal (Howard at Beale),Market at Sansome,576,22,598
Davis at Jackson,Beale at Market,582,15,597
Embarcadero at Folsom,Steuart at Market,554,41,595
Townsend at 7th,Townsend at 7th,427,168,595
Ryland Park,Santa Clara County Civic Center,575,20,595
Powell at Post (Union Square),Market at Sansome,483,111,594
2nd at Townsend,Embarcadero at Bryant,479,113,592
Clay at Battery,Powell Street BART,532,60,592
Broadway St at Battery St,Clay at Battery,574,18,592
Grant Avenue at Columbus Avenue,Mechanics Plaza (Market at Battery),552,35,587
Market at 10th,Beale at Market,531,56,587
Embarcadero at Vallejo,Beale at Market,534,52,586
5th at Howard,Powell Street BART,468,118,586
Powell Street BART,San Francisco City Hall,418,167,585
2nd at Townsend,Yerba Buena Center of the Arts (3rd @ Howard),479,103,582
Temporary Transbay Terminal (Howard at Beale),Powell Street BART,524,52,576
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Bryant,554,22,576
Harry Bridges Plaza (Ferry Building),Market at 10th,424,150,574
Market at Sansome,Embarcadero at Folsom,516,56,572
Market at 10th,Harry Bridges Plaza (Ferry Building),354,218,572
Mechanics Plaza (Market at Battery),Embarcadero at Folsom,540,32,572
2nd at South Park,2nd at Folsom,550,21,571
Washington at Kearny,Powell Street BART,499,72,571
Steuart at Market,Yerba Buena Center of the Arts (3rd @ Howard),440,130,570
Mechanics Plaza (Market at Battery),Temporary Transbay Terminal (Howard at Beale),565,5,570
Civic Center BART (7th at Market),Steuart at Market,415,150,565
Market at 4th,5th at Howard,505,59,564
San Francisco Caltrain (Townsend at 4th),Grant Avenue at Columbus Avenue,476,88,564
2nd at South Park,Embarcadero at Vallejo,506,58,564
Powell at Post (Union Square),Steuart at Market,291,272,563
Grant Avenue at Columbus Avenue,Spear at Folsom,539,23,562
Yerba Buena Center of the Arts (3rd @ Howard),Commercial at Montgomery,534,27,561
Townsend at 7th,5th at Howard,504,56,560
Washington at Kearny,Embarcadero at Sansome,214,344,558
Temporary Transbay Terminal (Howard at Beale),2nd at Folsom,538,20,558
Market at 4th,Mechanics Plaza (Market at Battery),448,109,557
Embarcadero at Folsom,Harry Bridges Plaza (Ferry Building),449,107,556
Powell Street BART,Beale at Market,481,74,555
Mechanics Plaza (Market at Battery),Civic Center BART (7th at Market),489,65,554
2nd at Townsend,Broadway St at Battery St,473,81,554
2nd at South Park,Spear at Folsom,529,25,554
Embarcadero at Folsom,Townsend at 7th,503,50,553
Palo Alto Caltrain Station,Palo Alto Caltrain Station,94,458,552
Powell Street BART,5th at Howard,485,66,551
2nd at Folsom,Market at 4th,495,54,549
Market at 10th,Temporary Transbay Terminal (Howard at Beale),529,19,548
Market at 4th,Grant Avenue at Columbus Avenue,361,187,548
Civic Center BART (7th at Market),Civic Center BART (7th at Market),164,383,547
Powell at Post (Union Square),Davis at Jackson,510,34,544
Powell Street BART,2nd at Folsom,499,45,544
Davis at Jackson,Spear at Folsom,524,19,543
Powell Street BART,Washington at Kearny,469,71,540
Spear at Folsom,2nd at South Park,505,35,540
Beale at Market,Powell Street BART,449,91,540
Temporary Transbay Terminal (Howard at Beale),Steuart at Market,524,15,539
Embarcadero at Vallejo,San Francisco Caltrain 2 (330 Townsend),485,53,538
Embarcadero at Folsom,Market at Sansome,500,36,536
Yerba Buena Center of the Arts (3rd @ Howard),Steuart at Market,374,161,535
Harry Bridges Plaza (Ferry Building),Post at Kearny,436,98,534
Beale at Market,Davis at Jackson,521,11,532
Market at Sansome,Market at Sansome,223,308,531
2nd at South Park,Yerba Buena Center of the Arts (3rd @ Howard),468,63,531
SJSU - San Salvador at 9th,San Jose Diridon Caltrain Station,486,44,530
5th at Howard,Civic Center BART (7th at Market),483,47,530
San Jose Civic Center,San Jose Diridon Caltrain Station,417,112,529
Mechanics Plaza (Market at Battery),2nd at Townsend,475,54,529
2nd at South Park,2nd at Townsend,482,46,528
San Jose Diridon Caltrain Station,SJSU - San Salvador at 9th,470,57,527
2nd at Folsom,Clay at Battery,499,27,526
Market at 4th,Spear at Folsom,467,59,526
San Francisco Caltrain 2 (330 Townsend),San Francisco Caltrain 2 (330 Townsend),374,152,526
Market at Sansome,5th at Howard,485,40,525
Spear at Folsom,Mechanics Plaza (Market at Battery),484,40,524
Townsend at 7th,Golden Gate at Polk,487,36,523
Mechanics Plaza (Market at Battery),Davis at Jackson,506,15,521
Embarcadero at Sansome,Civic Center BART (7th at Market),336,183,519
San Francisco Caltrain (Townsend at 4th),Powell at Post (Union Square),399,120,519
5th at Howard,Howard at 2nd,484,35,519
Market at 10th,2nd at South Park,477,39,516
Clay at Battery,Clay at Battery,155,359,514
San Francisco City Hall,Powell Street BART,369,144,513
Embarcadero at Sansome,Commercial at Montgomery,347,164,511
San Jose City Hall,San Salvador at 1st,496,15,511
2nd at South Park,2nd at South Park,387,123,510
Grant Avenue at Columbus Avenue,San Francisco Caltrain 2 (330 Townsend),467,43,510
Powell at Post (Union Square),2nd at South Park,434,76,510
San Jose Civic Center,San Jose Civic Center,26,483,509
Embarcadero at Bryant,Spear at Folsom,483,25,508
Powell at Post (Union Square),Beale at Market,447,60,507
South Van Ness at Market,Beale at Market,458,48,506
Market at 4th,Davis at Jackson,462,44,506
Beale at Market,Harry Bridges Plaza (Ferry Building),383,123,506
Palo Alto Caltrain Station,Park at Olive,449,55,504
South Van Ness at Market,South Van Ness at Market,185,319,504
Powell at Post (Union Square),Grant Avenue at Columbus Avenue,281,222,503
Mechanics Plaza (Market at Battery),Steuart at Market,434,68,502
Embarcadero at Folsom,2nd at South Park,449,50,499
Clay at Battery,Harry Bridges Plaza (Ferry Building),332,166,498
Embarcadero at Sansome,Broadway St at Battery St,346,150,496
Embarcadero at Sansome,Washington at Kearny,177,313,490
2nd at South Park,5th at Howard,436,53,489
Powell at Post (Union Square),Mechanics Plaza (Market at Battery),419,69,488
Harry Bridges Plaza (Ferry Building),Spear at Folsom,426,62,488
Townsend at 7th,Yerba Buena Center of the Arts (3rd @ Howard),423,64,487
Broadway St at Battery St,Embarcadero at Sansome,283,204,487
Powell Street BART,Golden Gate at Polk,338,149,487
Market at Sansome,Howard at 2nd,457,29,486
Embarcadero at Sansome,South Van Ness at Market,350,136,486
South Van Ness at Market,Embarcadero at Sansome,408,77,485
Yerba Buena Center of the Arts (3rd @ Howard),2nd at South Park,397,88,485
Post at Kearny,Steuart at Market,390,94,484
Embarcadero at Folsom,Embarcadero at Folsom,223,261,484
Embarcadero at Bryant,Beale at Market,446,38,484
Civic Center BART (7th at Market),5th at Howard,425,59,484
Steuart at Market,Davis at Jackson,439,45,484
2nd at Folsom,Howard at 2nd,466,16,482
San Francisco City Hall,San Francisco Caltrain (Townsend at 4th),455,24,479
Golden Gate at Polk,Market at 10th,431,48,479
Market at Sansome,Beale at Market,439,39,478
Commercial at Montgomery,Spear at Folsom,465,12,477
Golden Gate at Polk,Yerba Buena Center of the Arts (3rd @ Howard),441,35,476
Market at Sansome,Spear at Folsom,443,30,473
Golden Gate at Polk,Powell Street BART,363,109,472
Market at 10th,Powell at Post (Union Square),348,124,472
Beale at Market,Grant Avenue at Columbus Avenue,409,62,471
Townsend at 7th,Embarcadero at Folsom,436,35,471
5th at Howard,5th at Howard,155,316,471
5th at Howard,Embarcadero at Sansome,240,229,469
Townsend at 7th,Embarcadero at Bryant,415,53,468
2nd at South Park,Powell Street BART,394,74,468
San Francisco Caltrain 2 (330 Townsend),Washington at Kearny,454,11,465
Beale at Market,Market at 10th,420,45,465
Harry Bridges Plaza (Ferry Building),Davis at Jackson,390,75,465
Embarcadero at Sansome,Golden Gate at Polk,388,77,465
2nd at Folsom,5th at Howard,416,47,463
Davis at Jackson,Market at 4th,422,40,462
South Van Ness at Market,Mechanics Plaza (Market at Battery),436,24,460
Spear at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),401,53,454
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Bryant,393,61,454
Embarcadero at Vallejo,2nd at South Park,414,40,454
Yerba Buena Center of the Arts (3rd @ Howard),Market at Sansome,407,45,452
Embarcadero at Sansome,Howard at 2nd,263,187,450
Civic Center BART (7th at Market),Golden Gate at Polk,401,48,449
San Salvador at 1st,MLK Library,436,13,449
Clay at Battery,Market at 4th,353,95,448
Broadway St at Battery St,Harry Bridges Plaza (Ferry Building),364,84,448
Rengstorff Avenue / California Street,Mountain View Caltrain Station,385,63,448
Post at Kearny,Market at 10th,393,54,447
Market at 4th,Howard at 2nd,412,35,447
Embarcadero at Bryant,Temporary Transbay Terminal (Howard at Beale),432,15,447
Yerba Buena Center of the Arts (3rd @ Howard),Yerba Buena Center of the Arts (3rd @ Howard),97,349,446
Harry Bridges Plaza (Ferry Building),Broadway St at Battery St,343,103,446
Broadway St at Battery St,Embarcadero at Bryant,402,43,445
Mechanics Plaza (Market at Battery),Broadway St at Battery St,428,15,443
San Francisco City Hall,Market at 4th,306,137,443
Powell at Post (Union Square),Powell Street BART,304,136,440
Powell Street BART,Temporary Transbay Terminal (Howard at Beale),422,18,440
Temporary Transbay Terminal (Howard at Beale),Beale at Market,418,21,439
2nd at Folsom,Steuart at Market,403,35,438
Golden Gate at Polk,Steuart at Market,371,66,437
Mechanics Plaza (Market at Battery),Mechanics Plaza (Market at Battery),193,243,436
Market at 4th,2nd at Folsom,366,70,436
Market at 4th,Embarcadero at Bryant,365,69,434
Steuart at Market,Grant Avenue at Columbus Avenue,288,145,433
Yerba Buena Center of the Arts (3rd @ Howard),2nd at Townsend,329,104,433
Spear at Folsom,Davis at Jackson,409,21,430
Market at 10th,2nd at Folsom,394,36,430
Market at Sansome,Clay at Battery,391,39,430
Spear at Folsom,5th at Howard,390,39,429
Market at 4th,Commercial at Montgomery,377,51,428
Post at Kearny,Townsend at 7th,414,14,428
Spear at Folsom,Howard at 2nd,392,34,426
Commercial at Montgomery,Embarcadero at Sansome,270,156,426
Steuart at Market,5th at Howard,347,76,423
Steuart at Market,Powell Street BART,286,137,423
Commercial at Montgomery,Beale at Market,405,18,423
San Francisco Caltrain (Townsend at 4th),Washington at Kearny,389,31,420
Powell Street BART,Market at 4th,283,137,420
2nd at Folsom,Commercial at Montgomery,395,25,420
Golden Gate at Polk,Civic Center BART (7th at Market),386,33,419
Temporary Transbay Terminal (Howard at Beale),Davis at Jackson,399,17,416
Post at Kearny,Embarcadero at Sansome,187,228,415
Grant Avenue at Columbus Avenue,Market at 10th,327,87,414
Powell Street BART,Mechanics Plaza (Market at Battery),340,72,412
Clay at Battery,Market at Sansome,381,30,411
Yerba Buena Center of the Arts (3rd @ Howard),Powell Street BART,313,98,411
Mountain View Caltrain Station,Rengstorff Avenue / California Street,343,67,410
Mechanics Plaza (Market at Battery),Spear at Folsom,383,27,410
Market at 10th,Howard at 2nd,368,38,406
Golden Gate at Polk,Market at 4th,323,83,406
Commercial at Montgomery,Powell at Post (Union Square),289,115,404
Powell at Post (Union Square),Washington at Kearny,318,85,403
Clay at Battery,Broadway St at Battery St,381,22,403
Spear at Folsom,Embarcadero at Bryant,371,32,403
2nd at South Park,Powell at Post (Union Square),300,103,403
2nd at Townsend,Commercial at Montgomery,344,56,400
Embarcadero at Folsom,Embarcadero at Vallejo,309,91,400
Townsend at 7th,2nd at South Park,358,42,400
San Francisco City Hall,San Francisco City Hall,125,274,399
Embarcadero at Folsom,Howard at 2nd,365,34,399
Post at Kearny,Grant Avenue at Columbus Avenue,309,90,399
San Pedro Square,Japantown,296,101,397
Embarcadero at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),342,55,397
Japantown,San Pedro Square,302,95,397
Howard at 2nd,Embarcadero at Folsom,357,39,396
2nd at Townsend,Powell at Post (Union Square),282,114,396
Powell at Post (Union Square),Broadway St at Battery St,369,27,396
2nd at South Park,Mechanics Plaza (Market at Battery),374,22,396
South Van Ness at Market,Steuart at Market,283,113,396
2nd at Townsend,Post at Kearny,331,64,395
2nd at Folsom,Market at 10th,366,28,394
Powell at Post (Union Square),2nd at Townsend,311,82,393
Embarcadero at Folsom,Washington at Kearny,384,9,393
Civic Center BART (7th at Market),Beale at Market,346,47,393
Harry Bridges Plaza (Ferry Building),Clay at Battery,270,123,393
Spear at Folsom,Spear at Folsom,219,173,392
Embarcadero at Folsom,Mechanics Plaza (Market at Battery),367,24,391
2nd at South Park,Embarcadero at Folsom,363,27,390
Market at Sansome,Embarcadero at Bryant,342,47,389
Howard at 2nd,South Van Ness at Market,351,38,389
5th at Howard,2nd at Folsom,356,32,388
Park at Olive,Palo Alto Caltrain Station,321,66,387
Powell at Post (Union Square),Yerba Buena Center of the Arts (3rd @ Howard),237,150,387
Howard at 2nd,Market at 10th,336,51,387
2nd at Townsend,2nd at South Park,352,34,386
Powell at Post (Union Square),Civic Center BART (7th at Market),252,134,386
Howard at 2nd,Embarcadero at Sansome,211,174,385
Embarcadero at Vallejo,Embarcadero at Folsom,297,88,385
5th at Howard,2nd at South Park,337,47,384
Market at 10th,2nd at Townsend,342,42,384
Grant Avenue at Columbus Avenue,Post at Kearny,300,84,384
Townsend at 7th,Post at Kearny,376,7,383
Redwood City Caltrain Station,Redwood City Medical Center,362,21,383
Powell at Post (Union Square),5th at Howard,313,68,381
Golden Gate at Polk,5th at Howard,331,49,380
Davis at Jackson,Harry Bridges Plaza (Ferry Building),323,56,379
5th at Howard,Spear at Folsom,353,26,379
Santa Clara at Almaden,SJSU 4th at San Carlos,362,17,379
Embarcadero at Sansome,Yerba Buena Center of the Arts (3rd @ Howard),171,206,377
Commercial at Montgomery,2nd at Townsend,296,81,377
Embarcadero at Bryant,Broadway St at Battery St,338,38,376
Grant Avenue at Columbus Avenue,Davis at Jackson,345,31,376
Golden Gate at Polk,South Van Ness at Market,312,63,375
Powell at Post (Union Square),Post at Kearny,307,68,375
Spear at Folsom,Market at 4th,327,47,374
Grant Avenue at Columbus Avenue,Townsend at 7th,338,36,374
Steuart at Market,Clay at Battery,342,30,372
5th at Howard,Commercial at Montgomery,356,15,371
2nd at Townsend,5th at Howard,319,52,371
San Francisco Caltrain 2 (330 Townsend),San Francisco City Hall,344,26,370
Broadway St at Battery St,Davis at Jackson,355,14,369
5th at Howard,Post at Kearny,343,24,367
5th at Howard,South Van Ness at Market,276,90,366
2nd at South Park,Market at 10th,315,50,365
Temporary Transbay Terminal (Howard at Beale),Temporary Transbay Terminal (Howard at Beale),232,132,364
San Francisco City Hall,Townsend at 7th,329,34,363
San Salvador at 1st,San Jose Diridon Caltrain Station,329,34,363
Grant Avenue at Columbus Avenue,2nd at South Park,319,44,363
Spear at Folsom,Beale at Market,333,29,362
Market at 4th,Powell Street BART,214,148,362
Market at 4th,Clay at Battery,286,76,362
Market at 10th,Golden Gate at Polk,308,54,362
South Van Ness at Market,Market at 10th,301,60,361
Washington at Kearny,Market at Sansome,301,60,361
Broadway St at Battery St,Market at 4th,314,46,360
2nd at South Park,Embarcadero at Sansome,222,138,360
Yerba Buena Center of the Arts (3rd @ Howard),South Van Ness at Market,263,95,358
Powell Street BART,2nd at Townsend,260,98,358
Howard at 2nd,Powell Street BART,301,56,357
Cowper at University,University and Emerson,259,98,357
Steuart at Market,Market at Sansome,296,61,357
South Van Ness at Market,5th at Howard,296,59,355
San Francisco City Hall,Market at Sansome,296,58,354
SJSU - San Salvador at 9th,Paseo de San Antonio,318,36,354
San Francisco Caltrain 2 (330 Townsend),Powell at Post (Union Square),305,48,353
Civic Center BART (7th at Market),Harry Bridges Plaza (Ferry Building),173,179,352
2nd at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),309,43,352
Temporary Transbay Terminal (Howard at Beale),Spear at Folsom,341,10,351
Commercial at Montgomery,5th at Howard,323,27,350
2nd at Folsom,Embarcadero at Folsom,329,21,350
Embarcadero at Sansome,5th at Howard,180,170,350
Market at 4th,Washington at Kearny,276,73,349
Market at 10th,Embarcadero at Sansome,182,166,348
Market at 10th,Washington at Kearny,319,29,348
Davis at Jackson,Powell at Post (Union Square),291,56,347
Civic Center BART (7th at Market),Mechanics Plaza (Market at Battery),306,40,346
South Van Ness at Market,Harry Bridges Plaza (Ferry Building),206,140,346
San Jose Diridon Caltrain Station,San Salvador at 1st,309,37,346
Commercial at Montgomery,2nd at South Park,306,40,346
Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Sansome,102,244,346
California Ave Caltrain Station,Palo Alto Caltrain Station,238,107,345
2nd at South Park,Washington at Kearny,321,23,344
Broadway St at Battery St,Powell at Post (Union Square),294,50,344
South Van Ness at Market,2nd at South Park,321,22,343
Embarcadero at Folsom,Grant Avenue at Columbus Avenue,294,49,343
Davis at Jackson,Broadway St at Battery St,333,9,342
Washington at Kearny,Harry Bridges Plaza (Ferry Building),202,139,341
Beale at Market,Beale at Market,118,223,341
Post at Kearny,Howard at 2nd,324,16,340
Powell at Post (Union Square),Commercial at Montgomery,291,48,339
Steuart at Market,Powell at Post (Union Square),178,161,339
Clay at Battery,Mechanics Plaza (Market at Battery),310,28,338
Market at Sansome,Embarcadero at Vallejo,187,150,337
Davis at Jackson,Mechanics Plaza (Market at Battery),314,21,335
Howard at 2nd,Powell at Post (Union Square),279,55,334
California Ave Caltrain Station,University and Emerson,169,164,333
Commercial at Montgomery,Broadway St at Battery St,318,12,330
Howard at 2nd,Howard at 2nd,191,138,329
Golden Gate at Polk,Beale at Market,312,16,328
Market at 10th,South Van Ness at Market,210,115,325
Golden Gate at Polk,Embarcadero at Sansome,251,74,325
Howard at 2nd,Yerba Buena Center of the Arts (3rd @ Howard),269,56,325
Powell at Post (Union Square),2nd at Folsom,290,35,325
2nd at Townsend,Grant Avenue at Columbus Avenue,209,115,324
Post at Kearny,Commercial at Montgomery,304,20,324
Market at 4th,Embarcadero at Vallejo,98,225,323
Steuart at Market,Market at 10th,227,96,323
Davis at Jackson,Embarcadero at Folsom,307,16,323
Steuart at Market,Temporary Transbay Terminal (Howard at Beale),306,16,322
Commercial at Montgomery,Howard at 2nd,299,23,322
Yerba Buena Center of the Arts (3rd @ Howard),Grant Avenue at Columbus Avenue,225,96,321
Spear at Folsom,2nd at Folsom,305,16,321
Market at Sansome,Golden Gate at Polk,281,38,319
South Van Ness at Market,Spear at Folsom,310,8,318
Grant Avenue at Columbus Avenue,Civic Center BART (7th at Market),248,70,318
Davis at Jackson,Embarcadero at Bryant,286,30,316
Embarcadero at Vallejo,Market at 4th,133,183,316
Embarcadero at Sansome,Post at Kearny,157,158,315
Market at 4th,San Francisco City Hall,217,98,315
Embarcadero at Sansome,Market at 10th,162,153,315
Harry Bridges Plaza (Ferry Building),Embarcadero at Folsom,232,83,315
Broadway St at Battery St,Broadway St at Battery St,162,152,314
Washington at Kearny,Market at 4th,206,108,314
Washington at Kearny,Washington at Kearny,40,274,314
Post at Kearny,Temporary Transbay Terminal (Howard at Beale),304,9,313
Temporary Transbay Terminal (Howard at Beale),Post at Kearny,300,13,313
Embarcadero at Folsom,Davis at Jackson,282,31,313
2nd at South Park,Clay at Battery,288,24,312
California Ave Caltrain Station,California Ave Caltrain Station,61,251,312
Beale at Market,Market at Sansome,269,40,309
South Van Ness at Market,Golden Gate at Polk,267,40,307
Powell Street BART,Grant Avenue at Columbus Avenue,192,115,307
Mechanics Plaza (Market at Battery),2nd at South Park,280,26,306
Yerba Buena Center of the Arts (3rd @ Howard),Temporary Transbay Terminal (Howard at Beale),281,24,305
St James Park,San Pedro Square,280,25,305
Beale at Market,Powell at Post (Union Square),220,84,304
2nd at Folsom,Embarcadero at Bryant,287,17,304
Washington at Kearny,Mechanics Plaza (Market at Battery),264,40,304
Paseo de San Antonio,SJSU - San Salvador at 9th,258,45,303
Arena Green / SAP Center,Arena Green / SAP Center,93,210,303
Powell at Post (Union Square),South Van Ness at Market,141,159,300
Rengstorff Avenue / California Street,San Antonio Caltrain Station,271,28,299
San Francisco City Hall,South Van Ness at Market,235,64,299
Howard at 2nd,Embarcadero at Bryant,263,36,299
Commercial at Montgomery,Commercial at Montgomery,153,145,298
SJSU 4th at San Carlos,Santa Clara at Almaden,279,19,298
2nd at Folsom,Washington at Kearny,282,15,297
Clay at Battery,Spear at Folsom,263,33,296
Spear at Folsom,Market at 10th,270,25,295
Grant Avenue at Columbus Avenue,Howard at 2nd,255,40,295
Market at 10th,Spear at Folsom,254,40,294
Santa Clara at Almaden,Santa Clara at Almaden,110,184,294
Mechanics Plaza (Market at Battery),5th at Howard,251,43,294
Clay at Battery,Howard at 2nd,278,15,293
2nd at South Park,Commercial at Montgomery,271,22,293
Embarcadero at Bryant,Davis at Jackson,265,27,292
San Antonio Caltrain Station,Rengstorff Avenue / California Street,253,39,292
Clay at Battery,Embarcadero at Bryant,234,56,290
Beale at Market,Embarcadero at Folsom,276,12,288
Civic Center BART (7th at Market),2nd at South Park,252,36,288
Spear at Folsom,Market at Sansome,258,30,288
Grant Avenue at Columbus Avenue,Yerba Buena Center of the Arts (3rd @ Howard),202,86,288
Davis at Jackson,Steuart at Market,272,16,288
Commercial at Montgomery,Post at Kearny,262,26,288
Post at Kearny,South Van Ness at Market,243,45,288
Washington at Kearny,Temporary Transbay Terminal (Howard at Beale),281,5,286
Civic Center BART (7th at Market),Grant Avenue at Columbus Avenue,213,73,286
2nd at Folsom,Beale at Market,267,18,285
2nd at Folsom,2nd at Folsom,135,150,285
2nd at South Park,Beale at Market,269,16,285
San Pedro Square,St James Park,267,18,285
Harry Bridges Plaza (Ferry Building),Washington at Kearny,93,191,284
2nd at Folsom,Embarcadero at Sansome,118,166,284
Powell at Post (Union Square),Market at 4th,154,130,284
Japantown,Japantown,129,155,284
Davis at Jackson,Grant Avenue at Columbus Avenue,208,76,284
Washington at Kearny,Beale at Market,266,17,283
San Jose Diridon Caltrain Station,SJSU 4th at San Carlos,253,30,283
Yerba Buena Center of the Arts (3rd @ Howard),Spear at Folsom,238,44,282
South Van Ness at Market,Howard at 2nd,267,15,282
Powell Street BART,Commercial at Montgomery,235,46,281
Civic Center BART (7th at Market),Powell at Post (Union Square),148,133,281
Washington at Kearny,San Francisco Caltrain (Townsend at 4th),241,39,280
Embarcadero at Folsom,Market at 4th,213,67,280
Golden Gate at Polk,Golden Gate at Polk,74,206,280
Market at Sansome,Powell at Post (Union Square),180,100,280
Market at 10th,Commercial at Montgomery,249,30,279
Post at Kearny,2nd at Townsend,218,60,278
Market at 4th,Golden Gate at Polk,193,85,278
San Pedro Square,San Pedro Square,66,212,278
2nd at Townsend,Powell Street BART,199,79,278
Mechanics Plaza (Market at Battery),Washington at Kearny,260,18,278
Mezes Park,Redwood City Caltrain Station,270,7,277
Steuart at Market,Civic Center BART (7th at Market),216,61,277
Mountain View Caltrain Station,San Antonio Shopping Center,232,44,276
2nd at South Park,Grant Avenue at Columbus Avenue,197,79,276
Embarcadero at Bryant,Howard at 2nd,248,26,274
Spear at Folsom,Broadway St at Battery St,260,13,273
Paseo de San Antonio,Japantown,226,47,273
Davis at Jackson,Embarcadero at Vallejo,220,53,273
Howard at 2nd,Temporary Transbay Terminal (Howard at Beale),252,20,272
Howard at 2nd,Spear at Folsom,248,24,272
Clay at Battery,Powell at Post (Union Square),175,96,271
Post at Kearny,Mechanics Plaza (Market at Battery),253,18,271
Post at Kearny,Davis at Jackson,264,7,271
Steuart at Market,Post at Kearny,210,60,270
San Francisco Caltrain (Townsend at 4th),San Francisco City Hall,242,26,268
Spear at Folsom,Clay at Battery,242,26,268
2nd at Folsom,Grant Avenue at Columbus Avenue,218,50,268
Spear at Folsom,Embarcadero at Vallejo,195,73,268
Grant Avenue at Columbus Avenue,2nd at Folsom,238,30,268
Temporary Transbay Terminal (Howard at Beale),Washington at Kearny,255,12,267
2nd at Folsom,Powell at Post (Union Square),210,57,267
Post at Kearny,Powell Street BART,223,43,266
Civic Center BART (7th at Market),Washington at Kearny,234,31,265
Embarcadero at Vallejo,Grant Avenue at Columbus Avenue,39,225,264
Market at 10th,Davis at Jackson,249,14,263
2nd at Folsom,Civic Center BART (7th at Market),236,27,263
Washington at Kearny,2nd at South Park,246,17,263
Civic Center BART (7th at Market),Clay at Battery,233,29,262
Harry Bridges Plaza (Ferry Building),South Van Ness at Market,123,138,261
San Jose City Hall,San Jose City Hall,186,75,261
Embarcadero at Sansome,Townsend at 7th,197,62,259
Yerba Buena Center of the Arts (3rd @ Howard),Civic Center BART (7th at Market),167,91,258
San Jose Diridon Caltrain Station,San Jose Diridon Caltrain Station,108,150,258
University and Emerson,California Ave Caltrain Station,121,137,258
Commercial at Montgomery,Market at 10th,209,49,258
Post at Kearny,Broadway St at Battery St,227,30,257
South Van Ness at Market,Commercial at Montgomery,244,11,255
Mountain View City Hall,Mountain View City Hall,85,169,254
2nd at South Park,Embarcadero at Bryant,206,48,254
5th at Howard,2nd at Townsend,209,45,254
South Van Ness at Market,San Francisco City Hall,220,33,253
Market at Sansome,Washington at Kearny,208,43,251
Embarcadero at Sansome,2nd at South Park,164,87,251
Powell at Post (Union Square),Spear at Folsom,204,47,251
South Van Ness at Market,Yerba Buena Center of the Arts (3rd @ Howard),213,37,250
Powell Street BART,2nd at South Park,196,53,249
Powell Street BART,Powell at Post (Union Square),121,128,249
Market at Sansome,San Francisco City Hall,210,38,248
Powell Street BART,Post at Kearny,212,35,247
Embarcadero at Bryant,Market at Sansome,207,40,247
Arena Green / SAP Center,San Pedro Square,203,43,246
Embarcadero at Bryant,Market at 4th,171,75,246
Steuart at Market,Washington at Kearny,192,53,245
Beale at Market,Townsend at 7th,221,24,245
Market at 4th,Broadway St at Battery St,199,45,244
Commercial at Montgomery,Embarcadero at Folsom,226,17,243
Howard at 2nd,Civic Center BART (7th at Market),212,30,242
Post at Kearny,5th at Howard,229,12,241
Mechanics Plaza (Market at Battery),Post at Kearny,207,34,241
Market at 10th,Grant Avenue at Columbus Avenue,167,73,240
Market at 4th,Embarcadero at Folsom,195,45,240
Civic Center BART (7th at Market),Post at Kearny,191,48,239
5th at Howard,Beale at Market,212,27,239
MLK Library,Japantown,186,52,238
Market at 4th,Yerba Buena Center of the Arts (3rd @ Howard),188,50,238
Powell at Post (Union Square),Clay at Battery,150,88,238
