
start_station_id,start_station_name,end_station_id,end_station_name,duration_sec,start_date,end_date,bike_number,zip_code,station_id,latitude,longitude,dockcount,landmark
2,San Jose Diridon Caltrain Station,11,MLK Library,504,2015-10-14 08:20:00,2015-10-14 08:28:00,200,94044,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,1716,2014-10-26 16:01:00,2014-10-26 16:30:00,17,94566,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,635,2015-03-02 08:07:00,2015-03-02 08:18:00,686,94044,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,558,2015-10-28 18:48:00,2015-10-28 18:57:00,74,95172,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,572,2015-04-10 08:00:00,2015-04-10 08:10:00,90,95126,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,488,2015-04-29 07:51:00,2015-04-29 07:59:00,164,95126,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,527,2015-02-04 07:49:00,2015-02-04 07:58:00,43,95126,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,555,2015-02-03 07:49:00,2015-02-03 07:58:00,63,95126,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,629,2014-09-19 07:59:00,2014-09-19 08:09:00,653,95126,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,546,2014-06-04 19:29:00,2014-06-04 19:38:00,143,94550,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,476,2014-01-09 11:38:00,2014-01-09 11:46:00,678,94043,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,586,2015-10-21 18:51:00,2015-10-21 19:01:00,641,95172,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,5446,2015-09-06 12:37:00,2015-09-06 14:08:00,31,81,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,642,2015-05-11 08:08:00,2015-05-11 08:18:00,211,94044,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,602,2015-05-06 08:07:00,2015-05-06 08:17:00,195,94044,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,503,2015-05-14 07:48:00,2015-05-14 07:57:00,695,95126,2,37.329732,-121.901782,27,San Jose
2,San Jose Diridon Caltrain Station,11,MLK Library,413,2014-10-06 16:27:00,2014-10-06 16:34:00,205,95035,2,37.329732,-121.901782,27,San Jose
