
start_station_name,end_station_name,latitude,longitude,total_trips
Townsend at 7th,2nd at Folsom,37.771058,-122.402717,780
Powell Street BART,Harry Bridges Plaza (Ferry Building),37.783871,-122.408433,776
Grant Avenue at Columbus Avenue,Powell Street BART,37.7979,-122.405942,773
Grant Avenue at Columbus Avenue,Steuart at Market,37.7979,-122.405942,773
Civic Center BART (7th at Market),Powell Street BART,37.781039,-122.411748,770
Broadway St at Battery St,2nd at Townsend,37.798541,-122.400862,770
Mechanics Plaza (Market at Battery),San Francisco Caltrain 2 (330 Townsend),37.7913,-122.399051,768
Embarcadero at Bryant,Commercial at Montgomery,37.787152,-122.388013,768
San Francisco Caltrain 2 (330 Townsend),Post at Kearny,37.7766,-122.39547,766
Market at 10th,5th at Howard,37.776619,-122.417385,764
Santa Clara at Almaden,Arena Green / SAP Center,37.333988,-121.894902,760
Davis at Jackson,San Francisco Caltrain 2 (330 Townsend),37.79728,-122.398436,759
Powell Street BART,Embarcadero at Sansome,37.783871,-122.408433,756
Market at Sansome,Broadway St at Battery St,37.789625,-122.400811,756
2nd at South Park,Market at 4th,37.782259,-122.392738,755
Yerba Buena Center of the Arts (3rd @ Howard),Market at 10th,37.784878,-122.401014,755
Spear at Folsom,Embarcadero at Sansome,37.790302,-122.390637,754
Beale at Market,Embarcadero at Bryant,37.792251,-122.397086,753
Grant Avenue at Columbus Avenue,Harry Bridges Plaza (Ferry Building),37.7979,-122.405942,749
5th at Howard,Harry Bridges Plaza (Ferry Building),37.781752,-122.405127,748
Civic Center BART (7th at Market),Embarcadero at Sansome,37.781039,-122.411748,747
2nd at South Park,Steuart at Market,37.782259,-122.392738,744
Market at Sansome,Market at 10th,37.789625,-122.400811,743
Powell at Post (Union Square),Harry Bridges Plaza (Ferry Building),37.788446,-122.408499,741
Embarcadero at Vallejo,2nd at Townsend,37.799953,-122.398525,740
2nd at Townsend,Market at 4th,37.780526,-122.390288,737
Embarcadero at Bryant,Townsend at 7th,37.787152,-122.388013,733
Beale at Market,2nd at South Park,37.792251,-122.397086,730
Townsend at 7th,Market at Sansome,37.771058,-122.402717,727
Commercial at Montgomery,Harry Bridges Plaza (Ferry Building),37.794231,-122.402923,727
Davis at Jackson,Market at Sansome,37.79728,-122.398436,727
Redwood City Caltrain Station,Stanford in Redwood City,37.486078,-122.232089,726
Yerba Buena Center of the Arts (3rd @ Howard),Harry Bridges Plaza (Ferry Building),37.784878,-122.401014,724
2nd at Folsom,Powell Street BART,37.785299,-122.396236,724
Mechanics Plaza (Market at Battery),Commercial at Montgomery,37.7913,-122.399051,723
Arena Green / SAP Center,Santa Clara at Almaden,37.332692,-121.900084,716
Palo Alto Caltrain Station,California Ave Caltrain Station,37.443988,-122.164759,716
2nd at Townsend,Mechanics Plaza (Market at Battery),37.780526,-122.390288,715
Powell at Post (Union Square),Market at 10th,37.788446,-122.408499,715
2nd at Folsom,Townsend at 7th,37.785299,-122.396236,714
Townsend at 7th,Spear at Folsom,37.771058,-122.402717,710
Grant Avenue at Columbus Avenue,2nd at Townsend,37.7979,-122.405942,709
Townsend at 7th,Steuart at Market,37.771058,-122.402717,706
Market at 4th,2nd at Townsend,37.786305,-122.404966,705
San Francisco Caltrain (Townsend at 4th),San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526,704
Commercial at Montgomery,Mechanics Plaza (Market at Battery),37.794231,-122.402923,703
2nd at Townsend,Beale at Market,37.780526,-122.390288,702
Yerba Buena Center of the Arts (3rd @ Howard),5th at Howard,37.784878,-122.401014,702
Mechanics Plaza (Market at Battery),Harry Bridges Plaza (Ferry Building),37.7913,-122.399051,702
Mountain View Caltrain Station,Mountain View Caltrain Station,37.394358,-122.076713,697
Townsend at 7th,Market at 4th,37.771058,-122.402717,697
Yerba Buena Center of the Arts (3rd @ Howard),Townsend at 7th,37.784878,-122.401014,697
San Jose Diridon Caltrain Station,Ryland Park,37.329732,-121.901782,696
Civic Center BART (7th at Market),Temporary Transbay Terminal (Howard at Beale),37.781039,-122.411748,690
Embarcadero at Sansome,Powell at Post (Union Square),37.80477,-122.403234,689
Market at 4th,Townsend at 7th,37.786305,-122.404966,685
Mechanics Plaza (Market at Battery),South Van Ness at Market,37.7913,-122.399051,684
Spear at Folsom,Commercial at Montgomery,37.790302,-122.390637,683
Powell at Post (Union Square),Townsend at 7th,37.788446,-122.408499,681
2nd at South Park,Post at Kearny,37.782259,-122.392738,678
Market at Sansome,Market at 4th,37.789625,-122.400811,677
Market at Sansome,Townsend at 7th,37.789625,-122.400811,675
Temporary Transbay Terminal (Howard at Beale),Mechanics Plaza (Market at Battery),37.789756,-122.394643,668
Steuart at Market,Market at 4th,37.794139,-122.394434,667
Commercial at Montgomery,San Francisco Caltrain 2 (330 Townsend),37.794231,-122.402923,666
Powell Street BART,Steuart at Market,37.783871,-122.408433,663
Market at Sansome,Yerba Buena Center of the Arts (3rd @ Howard),37.789625,-122.400811,661
Post at Kearny,Washington at Kearny,37.788975,-122.403452,658
Howard at 2nd,Market at 4th,37.786978,-122.398108,654
Davis at Jackson,Commercial at Montgomery,37.79728,-122.398436,654
Market at Sansome,South Van Ness at Market,37.789625,-122.400811,649
Santa Clara County Civic Center,Ryland Park,37.352601,-121.905733,647
5th at Howard,Market at 4th,37.781752,-122.405127,647
5th at Howard,Market at 10th,37.781752,-122.405127,641
San Jose Diridon Caltrain Station,San Jose Civic Center,37.329732,-121.901782,641
Davis at Jackson,Temporary Transbay Terminal (Howard at Beale),37.79728,-122.398436,640
Clay at Battery,Grant Avenue at Columbus Avenue,37.795001,-122.39997,640
Market at Sansome,Civic Center BART (7th at Market),37.789625,-122.400811,640
Clay at Battery,San Francisco Caltrain 2 (330 Townsend),37.795001,-122.39997,640
San Francisco Caltrain 2 (330 Townsend),Clay at Battery,37.7766,-122.39547,640
Commercial at Montgomery,Market at 4th,37.794231,-122.402923,638
Market at 4th,Beale at Market,37.786305,-122.404966,637
Beale at Market,Market at 4th,37.792251,-122.397086,629
Post at Kearny,Harry Bridges Plaza (Ferry Building),37.788975,-122.403452,629
South Van Ness at Market,Post at Kearny,37.774814,-122.418954,628
Stanford in Redwood City,Redwood City Caltrain Station,37.48537,-122.203288,627
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Vallejo,37.7766,-122.39547,627
Grant Avenue at Columbus Avenue,Grant Avenue at Columbus Avenue,37.7979,-122.405942,625
Embarcadero at Bryant,Clay at Battery,37.787152,-122.388013,624
Temporary Transbay Terminal (Howard at Beale),Grant Avenue at Columbus Avenue,37.789756,-122.394643,623
Market at 10th,Mechanics Plaza (Market at Battery),37.776619,-122.417385,623
Harry Bridges Plaza (Ferry Building),Powell at Post (Union Square),37.795392,-122.394203,621
San Francisco Caltrain (Townsend at 4th),Golden Gate at Polk,37.776617,-122.39526,619
Harry Bridges Plaza (Ferry Building),Commercial at Montgomery,37.795392,-122.394203,619
San Jose Diridon Caltrain Station,San Jose City Hall,37.329732,-121.901782,615
5th at Howard,Market at Sansome,37.781752,-122.405127,615
Commercial at Montgomery,Powell Street BART,37.794231,-122.402923,615
Steuart at Market,Mechanics Plaza (Market at Battery),37.794139,-122.394434,613
San Francisco Caltrain 2 (330 Townsend),Commercial at Montgomery,37.7766,-122.39547,613
Golden Gate at Polk,Market at Sansome,37.781332,-122.418603,612
Embarcadero at Sansome,Spear at Folsom,37.80477,-122.403234,611
Post at Kearny,2nd at South Park,37.788975,-122.403452,609
Grant Avenue at Columbus Avenue,Powell at Post (Union Square),37.7979,-122.405942,604
San Francisco City Hall,San Francisco Caltrain 2 (330 Townsend),37.77865,-122.418235,604
Temporary Transbay Terminal (Howard at Beale),Market at Sansome,37.789756,-122.394643,598
Davis at Jackson,Beale at Market,37.79728,-122.398436,597
Ryland Park,Santa Clara County Civic Center,37.342725,-121.895617,595
Townsend at 7th,Townsend at 7th,37.771058,-122.402717,595
Embarcadero at Folsom,Steuart at Market,37.791464,-122.391034,595
Powell at Post (Union Square),Market at Sansome,37.788446,-122.408499,594
2nd at Townsend,Embarcadero at Bryant,37.780526,-122.390288,592
Clay at Battery,Powell Street BART,37.795001,-122.39997,592
Broadway St at Battery St,Clay at Battery,37.798541,-122.400862,592
Market at 10th,Beale at Market,37.776619,-122.417385,587
Grant Avenue at Columbus Avenue,Mechanics Plaza (Market at Battery),37.7979,-122.405942,587
5th at Howard,Powell Street BART,37.781752,-122.405127,586
Embarcadero at Vallejo,Beale at Market,37.799953,-122.398525,586
Powell Street BART,San Francisco City Hall,37.783871,-122.408433,585
2nd at Townsend,Yerba Buena Center of the Arts (3rd @ Howard),37.780526,-122.390288,582
Temporary Transbay Terminal (Howard at Beale),Powell Street BART,37.789756,-122.394643,576
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Bryant,37.789756,-122.394643,576
Harry Bridges Plaza (Ferry Building),Market at 10th,37.795392,-122.394203,574
Market at 10th,Harry Bridges Plaza (Ferry Building),37.776619,-122.417385,572
Market at Sansome,Embarcadero at Folsom,37.789625,-122.400811,572
Mechanics Plaza (Market at Battery),Embarcadero at Folsom,37.7913,-122.399051,572
2nd at South Park,2nd at Folsom,37.782259,-122.392738,571
Washington at Kearny,Powell Street BART,37.795425,-122.404767,571
Mechanics Plaza (Market at Battery),Temporary Transbay Terminal (Howard at Beale),37.7913,-122.399051,570
Steuart at Market,Yerba Buena Center of the Arts (3rd @ Howard),37.794139,-122.394434,570
Civic Center BART (7th at Market),Steuart at Market,37.781039,-122.411748,565
Market at 4th,5th at Howard,37.786305,-122.404966,564
San Francisco Caltrain (Townsend at 4th),Grant Avenue at Columbus Avenue,37.776617,-122.39526,564
2nd at South Park,Embarcadero at Vallejo,37.782259,-122.392738,564
Powell at Post (Union Square),Steuart at Market,37.788446,-122.408499,563
Grant Avenue at Columbus Avenue,Spear at Folsom,37.7979,-122.405942,562
Yerba Buena Center of the Arts (3rd @ Howard),Commercial at Montgomery,37.784878,-122.401014,561
Townsend at 7th,5th at Howard,37.771058,-122.402717,560
Washington at Kearny,Embarcadero at Sansome,37.795425,-122.404767,558
Temporary Transbay Terminal (Howard at Beale),2nd at Folsom,37.789756,-122.394643,558
Market at 4th,Mechanics Plaza (Market at Battery),37.786305,-122.404966,557
Embarcadero at Folsom,Harry Bridges Plaza (Ferry Building),37.791464,-122.391034,556
Powell Street BART,Beale at Market,37.783871,-122.408433,555
Mechanics Plaza (Market at Battery),Civic Center BART (7th at Market),37.7913,-122.399051,554
2nd at South Park,Spear at Folsom,37.782259,-122.392738,554
2nd at Townsend,Broadway St at Battery St,37.780526,-122.390288,554
Embarcadero at Folsom,Townsend at 7th,37.791464,-122.391034,553
Palo Alto Caltrain Station,Palo Alto Caltrain Station,37.443988,-122.164759,552
Powell Street BART,5th at Howard,37.783871,-122.408433,551
2nd at Folsom,Market at 4th,37.785299,-122.396236,549
Market at 4th,Grant Avenue at Columbus Avenue,37.786305,-122.404966,548
Market at 10th,Temporary Transbay Terminal (Howard at Beale),37.776619,-122.417385,548
Civic Center BART (7th at Market),Civic Center BART (7th at Market),37.781039,-122.411748,547
Powell Street BART,2nd at Folsom,37.783871,-122.408433,544
Powell at Post (Union Square),Davis at Jackson,37.788446,-122.408499,544
Davis at Jackson,Spear at Folsom,37.79728,-122.398436,543
Powell Street BART,Washington at Kearny,37.783871,-122.408433,540
Beale at Market,Powell Street BART,37.792251,-122.397086,540
Spear at Folsom,2nd at South Park,37.790302,-122.390637,540
Temporary Transbay Terminal (Howard at Beale),Steuart at Market,37.789756,-122.394643,539
Embarcadero at Vallejo,San Francisco Caltrain 2 (330 Townsend),37.799953,-122.398525,538
Embarcadero at Folsom,Market at Sansome,37.791464,-122.391034,536
Yerba Buena Center of the Arts (3rd @ Howard),Steuart at Market,37.784878,-122.401014,535
Harry Bridges Plaza (Ferry Building),Post at Kearny,37.795392,-122.394203,534
Beale at Market,Davis at Jackson,37.792251,-122.397086,532
2nd at South Park,Yerba Buena Center of the Arts (3rd @ Howard),37.782259,-122.392738,531
Market at Sansome,Market at Sansome,37.789625,-122.400811,531
SJSU - San Salvador at 9th,San Jose Diridon Caltrain Station,37.333955,-121.877349,530
5th at Howard,Civic Center BART (7th at Market),37.781752,-122.405127,530
San Jose Civic Center,San Jose Diridon Caltrain Station,37.330698,-121.888979,529
Mechanics Plaza (Market at Battery),2nd at Townsend,37.7913,-122.399051,529
2nd at South Park,2nd at Townsend,37.782259,-122.392738,528
San Jose Diridon Caltrain Station,SJSU - San Salvador at 9th,37.329732,-121.901782,527
San Francisco Caltrain 2 (330 Townsend),San Francisco Caltrain 2 (330 Townsend),37.7766,-122.39547,526
2nd at Folsom,Clay at Battery,37.785299,-122.396236,526
Market at 4th,Spear at Folsom,37.786305,-122.404966,526
Market at Sansome,5th at Howard,37.789625,-122.400811,525
Spear at Folsom,Mechanics Plaza (Market at Battery),37.790302,-122.390637,524
Townsend at 7th,Golden Gate at Polk,37.771058,-122.402717,523
Mechanics Plaza (Market at Battery),Davis at Jackson,37.7913,-122.399051,521
5th at Howard,Howard at 2nd,37.781752,-122.405127,519
Embarcadero at Sansome,Civic Center BART (7th at Market),37.80477,-122.403234,519
San Francisco Caltrain (Townsend at 4th),Powell at Post (Union Square),37.776617,-122.39526,519
Market at 10th,2nd at South Park,37.776619,-122.417385,516
Clay at Battery,Clay at Battery,37.795001,-122.39997,514
San Francisco City Hall,Powell Street BART,37.77865,-122.418235,513
San Jose City Hall,San Salvador at 1st,37.337391,-121.886995,511
Embarcadero at Sansome,Commercial at Montgomery,37.80477,-122.403234,511
Grant Avenue at Columbus Avenue,San Francisco Caltrain 2 (330 Townsend),37.7979,-122.405942,510
Powell at Post (Union Square),2nd at South Park,37.788446,-122.408499,510
2nd at South Park,2nd at South Park,37.782259,-122.392738,510
San Jose Civic Center,San Jose Civic Center,37.330698,-121.888979,509
Embarcadero at Bryant,Spear at Folsom,37.787152,-122.388013,508
Powell at Post (Union Square),Beale at Market,37.788446,-122.408499,507
Beale at Market,Harry Bridges Plaza (Ferry Building),37.792251,-122.397086,506
Market at 4th,Davis at Jackson,37.786305,-122.404966,506
South Van Ness at Market,Beale at Market,37.774814,-122.418954,506
South Van Ness at Market,South Van Ness at Market,37.774814,-122.418954,504
Palo Alto Caltrain Station,Park at Olive,37.443988,-122.164759,504
Powell at Post (Union Square),Grant Avenue at Columbus Avenue,37.788446,-122.408499,503
Mechanics Plaza (Market at Battery),Steuart at Market,37.7913,-122.399051,502
Embarcadero at Folsom,2nd at South Park,37.791464,-122.391034,499
Clay at Battery,Harry Bridges Plaza (Ferry Building),37.795001,-122.39997,498
Embarcadero at Sansome,Broadway St at Battery St,37.80477,-122.403234,496
Embarcadero at Sansome,Washington at Kearny,37.80477,-122.403234,490
2nd at South Park,5th at Howard,37.782259,-122.392738,489
Harry Bridges Plaza (Ferry Building),Spear at Folsom,37.795392,-122.394203,488
Powell at Post (Union Square),Mechanics Plaza (Market at Battery),37.788446,-122.408499,488
Broadway St at Battery St,Embarcadero at Sansome,37.798541,-122.400862,487
Townsend at 7th,Yerba Buena Center of the Arts (3rd @ Howard),37.771058,-122.402717,487
Powell Street BART,Golden Gate at Polk,37.783871,-122.408433,487
Embarcadero at Sansome,South Van Ness at Market,37.80477,-122.403234,486
Market at Sansome,Howard at 2nd,37.789625,-122.400811,486
Yerba Buena Center of the Arts (3rd @ Howard),2nd at South Park,37.784878,-122.401014,485
South Van Ness at Market,Embarcadero at Sansome,37.774814,-122.418954,485
Civic Center BART (7th at Market),5th at Howard,37.781039,-122.411748,484
Embarcadero at Folsom,Embarcadero at Folsom,37.791464,-122.391034,484
Steuart at Market,Davis at Jackson,37.794139,-122.394434,484
Embarcadero at Bryant,Beale at Market,37.787152,-122.388013,484
Post at Kearny,Steuart at Market,37.788975,-122.403452,484
2nd at Folsom,Howard at 2nd,37.785299,-122.396236,482
San Francisco City Hall,San Francisco Caltrain (Townsend at 4th),37.77865,-122.418235,479
Golden Gate at Polk,Market at 10th,37.781332,-122.418603,479
Market at Sansome,Beale at Market,37.789625,-122.400811,478
Commercial at Montgomery,Spear at Folsom,37.794231,-122.402923,477
Golden Gate at Polk,Yerba Buena Center of the Arts (3rd @ Howard),37.781332,-122.418603,476
Market at Sansome,Spear at Folsom,37.789625,-122.400811,473
Golden Gate at Polk,Powell Street BART,37.781332,-122.418603,472
Market at 10th,Powell at Post (Union Square),37.776619,-122.417385,472
5th at Howard,5th at Howard,37.781752,-122.405127,471
Beale at Market,Grant Avenue at Columbus Avenue,37.792251,-122.397086,471
Townsend at 7th,Embarcadero at Folsom,37.771058,-122.402717,471
5th at Howard,Embarcadero at Sansome,37.781752,-122.405127,469
Townsend at 7th,Embarcadero at Bryant,37.771058,-122.402717,468
2nd at South Park,Powell Street BART,37.782259,-122.392738,468
San Francisco Caltrain 2 (330 Townsend),Washington at Kearny,37.7766,-122.39547,465
Harry Bridges Plaza (Ferry Building),Davis at Jackson,37.795392,-122.394203,465
Beale at Market,Market at 10th,37.792251,-122.397086,465
Embarcadero at Sansome,Golden Gate at Polk,37.80477,-122.403234,465
2nd at Folsom,5th at Howard,37.785299,-122.396236,463
Davis at Jackson,Market at 4th,37.79728,-122.398436,462
South Van Ness at Market,Mechanics Plaza (Market at Battery),37.774814,-122.418954,460
Embarcadero at Vallejo,2nd at South Park,37.799953,-122.398525,454
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Bryant,37.7766,-122.39547,454
Spear at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),37.790302,-122.390637,454
Yerba Buena Center of the Arts (3rd @ Howard),Market at Sansome,37.784878,-122.401014,452
Embarcadero at Sansome,Howard at 2nd,37.80477,-122.403234,450
San Salvador at 1st,MLK Library,37.330165,-121.885831,449
Civic Center BART (7th at Market),Golden Gate at Polk,37.781039,-122.411748,449
Broadway St at Battery St,Harry Bridges Plaza (Ferry Building),37.798541,-122.400862,448
Clay at Battery,Market at 4th,37.795001,-122.39997,448
Rengstorff Avenue / California Street,Mountain View Caltrain Station,37.420909,-122.080623,448
Market at 4th,Howard at 2nd,37.786305,-122.404966,447
Post at Kearny,Market at 10th,37.788975,-122.403452,447
Embarcadero at Bryant,Temporary Transbay Terminal (Howard at Beale),37.787152,-122.388013,447
Yerba Buena Center of the Arts (3rd @ Howard),Yerba Buena Center of the Arts (3rd @ Howard),37.784878,-122.401014,446
Harry Bridges Plaza (Ferry Building),Broadway St at Battery St,37.795392,-122.394203,446
Broadway St at Battery St,Embarcadero at Bryant,37.798541,-122.400862,445
San Francisco City Hall,Market at 4th,37.77865,-122.418235,443
Mechanics Plaza (Market at Battery),Broadway St at Battery St,37.7913,-122.399051,443
Powell at Post (Union Square),Powell Street BART,37.788446,-122.408499,440
Powell Street BART,Temporary Transbay Terminal (Howard at Beale),37.783871,-122.408433,440
Temporary Transbay Terminal (Howard at Beale),Beale at Market,37.789756,-122.394643,439
2nd at Folsom,Steuart at Market,37.785299,-122.396236,438
Golden Gate at Polk,Steuart at Market,37.781332,-122.418603,437
Market at 4th,2nd at Folsom,37.786305,-122.404966,436
Mechanics Plaza (Market at Battery),Mechanics Plaza (Market at Battery),37.7913,-122.399051,436
Market at 4th,Embarcadero at Bryant,37.786305,-122.404966,434
Yerba Buena Center of the Arts (3rd @ Howard),2nd at Townsend,37.784878,-122.401014,433
Steuart at Market,Grant Avenue at Columbus Avenue,37.794139,-122.394434,433
Market at Sansome,Clay at Battery,37.789625,-122.400811,430
Spear at Folsom,Davis at Jackson,37.790302,-122.390637,430
Market at 10th,2nd at Folsom,37.776619,-122.417385,430
Spear at Folsom,5th at Howard,37.790302,-122.390637,429
Market at 4th,Commercial at Montgomery,37.786305,-122.404966,428
Post at Kearny,Townsend at 7th,37.788975,-122.403452,428
Commercial at Montgomery,Embarcadero at Sansome,37.794231,-122.402923,426
Spear at Folsom,Howard at 2nd,37.790302,-122.390637,426
Commercial at Montgomery,Beale at Market,37.794231,-122.402923,423
Steuart at Market,Powell Street BART,37.794139,-122.394434,423
Steuart at Market,5th at Howard,37.794139,-122.394434,423
San Francisco Caltrain (Townsend at 4th),Washington at Kearny,37.776617,-122.39526,420
2nd at Folsom,Commercial at Montgomery,37.785299,-122.396236,420
Powell Street BART,Market at 4th,37.783871,-122.408433,420
Golden Gate at Polk,Civic Center BART (7th at Market),37.781332,-122.418603,419
Temporary Transbay Terminal (Howard at Beale),Davis at Jackson,37.789756,-122.394643,416
Post at Kearny,Embarcadero at Sansome,37.788975,-122.403452,415
Grant Avenue at Columbus Avenue,Market at 10th,37.7979,-122.405942,414
Powell Street BART,Mechanics Plaza (Market at Battery),37.783871,-122.408433,412
Yerba Buena Center of the Arts (3rd @ Howard),Powell Street BART,37.784878,-122.401014,411
Clay at Battery,Market at Sansome,37.795001,-122.39997,411
Mountain View Caltrain Station,Rengstorff Avenue / California Street,37.394358,-122.076713,410
Mechanics Plaza (Market at Battery),Spear at Folsom,37.7913,-122.399051,410
Golden Gate at Polk,Market at 4th,37.781332,-122.418603,406
Market at 10th,Howard at 2nd,37.776619,-122.417385,406
Commercial at Montgomery,Powell at Post (Union Square),37.794231,-122.402923,404
Powell at Post (Union Square),Washington at Kearny,37.788446,-122.408499,403
2nd at South Park,Powell at Post (Union Square),37.782259,-122.392738,403
Spear at Folsom,Embarcadero at Bryant,37.790302,-122.390637,403
Clay at Battery,Broadway St at Battery St,37.795001,-122.39997,403
Townsend at 7th,2nd at South Park,37.771058,-122.402717,400
2nd at Townsend,Commercial at Montgomery,37.780526,-122.390288,400
Embarcadero at Folsom,Embarcadero at Vallejo,37.791464,-122.391034,400
San Francisco City Hall,San Francisco City Hall,37.77865,-122.418235,399
Embarcadero at Folsom,Howard at 2nd,37.791464,-122.391034,399
Post at Kearny,Grant Avenue at Columbus Avenue,37.788975,-122.403452,399
San Pedro Square,Japantown,37.336721,-121.894074,397
Japantown,San Pedro Square,37.348742,-121.894715,397
Embarcadero at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),37.791464,-122.391034,397
Howard at 2nd,Embarcadero at Folsom,37.786978,-122.398108,396
South Van Ness at Market,Steuart at Market,37.774814,-122.418954,396
2nd at Townsend,Powell at Post (Union Square),37.780526,-122.390288,396
Powell at Post (Union Square),Broadway St at Battery St,37.788446,-122.408499,396
2nd at South Park,Mechanics Plaza (Market at Battery),37.782259,-122.392738,396
2nd at Townsend,Post at Kearny,37.780526,-122.390288,395
2nd at Folsom,Market at 10th,37.785299,-122.396236,394
Civic Center BART (7th at Market),Beale at Market,37.781039,-122.411748,393
Harry Bridges Plaza (Ferry Building),Clay at Battery,37.795392,-122.394203,393
Embarcadero at Folsom,Washington at Kearny,37.791464,-122.391034,393
Powell at Post (Union Square),2nd at Townsend,37.788446,-122.408499,393
Spear at Folsom,Spear at Folsom,37.790302,-122.390637,392
Embarcadero at Folsom,Mechanics Plaza (Market at Battery),37.791464,-122.391034,391
2nd at South Park,Embarcadero at Folsom,37.782259,-122.392738,390
Howard at 2nd,South Van Ness at Market,37.786978,-122.398108,389
Market at Sansome,Embarcadero at Bryant,37.789625,-122.400811,389
5th at Howard,2nd at Folsom,37.781752,-122.405127,388
Powell at Post (Union Square),Yerba Buena Center of the Arts (3rd @ Howard),37.788446,-122.408499,387
Howard at 2nd,Market at 10th,37.786978,-122.398108,387
Park at Olive,Palo Alto Caltrain Station,37.4256839,-122.1377775,387
2nd at Townsend,2nd at South Park,37.780526,-122.390288,386
Powell at Post (Union Square),Civic Center BART (7th at Market),37.788446,-122.408499,386
Embarcadero at Vallejo,Embarcadero at Folsom,37.799953,-122.398525,385
Howard at 2nd,Embarcadero at Sansome,37.786978,-122.398108,385
5th at Howard,2nd at South Park,37.781752,-122.405127,384
Market at 10th,2nd at Townsend,37.776619,-122.417385,384
Grant Avenue at Columbus Avenue,Post at Kearny,37.7979,-122.405942,384
Townsend at 7th,Post at Kearny,37.771058,-122.402717,383
Redwood City Caltrain Station,Redwood City Medical Center,37.486078,-122.232089,383
Powell at Post (Union Square),5th at Howard,37.788446,-122.408499,381
Golden Gate at Polk,5th at Howard,37.781332,-122.418603,380
5th at Howard,Spear at Folsom,37.781752,-122.405127,379
Davis at Jackson,Harry Bridges Plaza (Ferry Building),37.79728,-122.398436,379
Santa Clara at Almaden,SJSU 4th at San Carlos,37.333988,-121.894902,379
Embarcadero at Sansome,Yerba Buena Center of the Arts (3rd @ Howard),37.80477,-122.403234,377
Commercial at Montgomery,2nd at Townsend,37.794231,-122.402923,377
Embarcadero at Bryant,Broadway St at Battery St,37.787152,-122.388013,376
Grant Avenue at Columbus Avenue,Davis at Jackson,37.7979,-122.405942,376
Golden Gate at Polk,South Van Ness at Market,37.781332,-122.418603,375
Powell at Post (Union Square),Post at Kearny,37.788446,-122.408499,375
Grant Avenue at Columbus Avenue,Townsend at 7th,37.7979,-122.405942,374
Spear at Folsom,Market at 4th,37.790302,-122.390637,374
Steuart at Market,Clay at Battery,37.794139,-122.394434,372
2nd at Townsend,5th at Howard,37.780526,-122.390288,371
5th at Howard,Commercial at Montgomery,37.781752,-122.405127,371
San Francisco Caltrain 2 (330 Townsend),San Francisco City Hall,37.7766,-122.39547,370
Broadway St at Battery St,Davis at Jackson,37.798541,-122.400862,369
5th at Howard,Post at Kearny,37.781752,-122.405127,367
5th at Howard,South Van Ness at Market,37.781752,-122.405127,366
2nd at South Park,Market at 10th,37.782259,-122.392738,365
Temporary Transbay Terminal (Howard at Beale),Temporary Transbay Terminal (Howard at Beale),37.789756,-122.394643,364
Grant Avenue at Columbus Avenue,2nd at South Park,37.7979,-122.405942,363
San Francisco City Hall,Townsend at 7th,37.77865,-122.418235,363
San Salvador at 1st,San Jose Diridon Caltrain Station,37.330165,-121.885831,363
Market at 10th,Golden Gate at Polk,37.776619,-122.417385,362
Market at 4th,Clay at Battery,37.786305,-122.404966,362
Spear at Folsom,Beale at Market,37.790302,-122.390637,362
Market at 4th,Powell Street BART,37.786305,-122.404966,362
Washington at Kearny,Market at Sansome,37.795425,-122.404767,361
South Van Ness at Market,Market at 10th,37.774814,-122.418954,361
Broadway St at Battery St,Market at 4th,37.798541,-122.400862,360
2nd at South Park,Embarcadero at Sansome,37.782259,-122.392738,360
Yerba Buena Center of the Arts (3rd @ Howard),South Van Ness at Market,37.784878,-122.401014,358
Powell Street BART,2nd at Townsend,37.783871,-122.408433,358
Howard at 2nd,Powell Street BART,37.786978,-122.398108,357
Cowper at University,University and Emerson,37.448598,-122.159504,357
Steuart at Market,Market at Sansome,37.794139,-122.394434,357
South Van Ness at Market,5th at Howard,37.774814,-122.418954,355
San Francisco City Hall,Market at Sansome,37.77865,-122.418235,354
SJSU - San Salvador at 9th,Paseo de San Antonio,37.333955,-121.877349,354
San Francisco Caltrain 2 (330 Townsend),Powell at Post (Union Square),37.7766,-122.39547,353
Civic Center BART (7th at Market),Harry Bridges Plaza (Ferry Building),37.781039,-122.411748,352
2nd at Folsom,Yerba Buena Center of the Arts (3rd @ Howard),37.785299,-122.396236,352
Temporary Transbay Terminal (Howard at Beale),Spear at Folsom,37.789756,-122.394643,351
2nd at Folsom,Embarcadero at Folsom,37.785299,-122.396236,350
Embarcadero at Sansome,5th at Howard,37.80477,-122.403234,350
Commercial at Montgomery,5th at Howard,37.794231,-122.402923,350
Market at 4th,Washington at Kearny,37.786305,-122.404966,349
Market at 10th,Washington at Kearny,37.776619,-122.417385,348
Market at 10th,Embarcadero at Sansome,37.776619,-122.417385,348
Davis at Jackson,Powell at Post (Union Square),37.79728,-122.398436,347
Civic Center BART (7th at Market),Mechanics Plaza (Market at Battery),37.781039,-122.411748,346
Yerba Buena Center of the Arts (3rd @ Howard),Embarcadero at Sansome,37.784878,-122.401014,346
San Jose Diridon Caltrain Station,San Salvador at 1st,37.329732,-121.901782,346
