
start_station_name,end_station_name,latitude,longitude,total_trips
San Francisco Caltrain (Townsend at 4th),Embarcadero at Sansome,37.776617,-122.39526,2317
San Francisco Caltrain (Townsend at 4th),Embarcadero at Bryant,37.776617,-122.39526,2307
San Francisco Caltrain 2 (330 Townsend),Market at Sansome,37.7766,-122.39547,2303
Spear at Folsom,San Francisco Caltrain (Townsend at 4th),37.790302,-122.390637,2281
Mountain View Caltrain Station,Castro Street and El Camino Real,37.394358,-122.076713,2266
Embarcadero at Bryant,Embarcadero at Sansome,37.787152,-122.388013,2250
Market at Sansome,Harry Bridges Plaza (Ferry Building),37.789625,-122.400811,2214
Market at 10th,Powell Street BART,37.776619,-122.417385,2208
Powell Street BART,San Francisco Caltrain (Townsend at 4th),37.783871,-122.408433,2186
2nd at South Park,Harry Bridges Plaza (Ferry Building),37.782259,-122.392738,2186
Townsend at 7th,Harry Bridges Plaza (Ferry Building),37.771058,-122.402717,2184
San Francisco Caltrain (Townsend at 4th),Powell Street BART,37.776617,-122.39526,2178
2nd at Townsend,Temporary Transbay Terminal (Howard at Beale),37.780526,-122.390288,2133
San Francisco Caltrain (Townsend at 4th),Beale at Market,37.776617,-122.39526,2125
Temporary Transbay Terminal (Howard at Beale),Townsend at 7th,37.789756,-122.394643,2123
Embarcadero at Bryant,Harry Bridges Plaza (Ferry Building),37.787152,-122.388013,2102
Temporary Transbay Terminal (Howard at Beale),5th at Howard,37.789756,-122.394643,2080
Steuart at Market,Embarcadero at Bryant,37.794139,-122.394434,2043
Embarcadero at Sansome,San Francisco Caltrain (Townsend at 4th),37.80477,-122.403234,2023
Market at Sansome,San Francisco Caltrain 2 (330 Townsend),37.789625,-122.400811,1953
Embarcadero at Folsom,2nd at Townsend,37.791464,-122.391034,1931
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain 2 (330 Townsend),37.795392,-122.394203,1914
San Francisco Caltrain (Townsend at 4th),Clay at Battery,37.776617,-122.39526,1905
San Francisco Caltrain (Townsend at 4th),5th at Howard,37.776617,-122.39526,1869
Harry Bridges Plaza (Ferry Building),Townsend at 7th,37.795392,-122.394203,1858
Beale at Market,Broadway St at Battery St,37.792251,-122.397086,1854
Townsend at 7th,Temporary Transbay Terminal (Howard at Beale),37.771058,-122.402717,1851
Embarcadero at Sansome,Temporary Transbay Terminal (Howard at Beale),37.80477,-122.403234,1834
Harry Bridges Plaza (Ferry Building),Embarcadero at Vallejo,37.795392,-122.394203,1833
Mechanics Plaza (Market at Battery),San Francisco Caltrain (Townsend at 4th),37.7913,-122.399051,1828
San Francisco Caltrain (Townsend at 4th),Spear at Folsom,37.776617,-122.39526,1824
South Van Ness at Market,San Francisco Caltrain 2 (330 Townsend),37.774814,-122.418954,1819
Market at Sansome,Embarcadero at Sansome,37.789625,-122.400811,1804
San Francisco Caltrain (Townsend at 4th),Embarcadero at Vallejo,37.776617,-122.39526,1794
San Francisco Caltrain (Townsend at 4th),2nd at Folsom,37.776617,-122.39526,1782
Commercial at Montgomery,San Francisco Caltrain (Townsend at 4th),37.794231,-122.402923,1770
Steuart at Market,Embarcadero at Vallejo,37.794139,-122.394434,1739
Harry Bridges Plaza (Ferry Building),Embarcadero at Bryant,37.795392,-122.394203,1729
Beale at Market,Embarcadero at Sansome,37.792251,-122.397086,1691
San Jose Diridon Caltrain Station,San Pedro Square,37.329732,-121.901782,1676
Market at 4th,Temporary Transbay Terminal (Howard at Beale),37.786305,-122.404966,1676
Spear at Folsom,2nd at Townsend,37.790302,-122.390637,1661
San Antonio Caltrain Station,San Antonio Shopping Center,37.40694,-122.106758,1661
2nd at Townsend,Townsend at 7th,37.780526,-122.390288,1656
Temporary Transbay Terminal (Howard at Beale),Commercial at Montgomery,37.789756,-122.394643,1655
San Antonio Shopping Center,San Antonio Caltrain Station,37.400443,-122.108338,1653
Harry Bridges Plaza (Ferry Building),2nd at South Park,37.795392,-122.394203,1651
Embarcadero at Bryant,Steuart at Market,37.787152,-122.388013,1649
2nd at Folsom,Harry Bridges Plaza (Ferry Building),37.785299,-122.396236,1641
Embarcadero at Vallejo,Embarcadero at Sansome,37.799953,-122.398525,1637
Embarcadero at Bryant,Embarcadero at Vallejo,37.787152,-122.388013,1632
Beale at Market,2nd at Townsend,37.792251,-122.397086,1619
Embarcadero at Sansome,Beale at Market,37.80477,-122.403234,1619
Market at 4th,San Francisco Caltrain 2 (330 Townsend),37.786305,-122.404966,1617
Beale at Market,San Francisco Caltrain 2 (330 Townsend),37.792251,-122.397086,1615
Grant Avenue at Columbus Avenue,Embarcadero at Folsom,37.7979,-122.405942,1608
Embarcadero at Sansome,2nd at Townsend,37.80477,-122.403234,1604
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain 2 (330 Townsend),37.784878,-122.401014,1604
San Francisco Caltrain (Townsend at 4th),Mechanics Plaza (Market at Battery),37.776617,-122.39526,1574
2nd at Townsend,Howard at 2nd,37.780526,-122.390288,1571
San Pedro Square,San Jose Diridon Caltrain Station,37.336721,-121.894074,1568
Grant Avenue at Columbus Avenue,San Francisco Caltrain (Townsend at 4th),37.7979,-122.405942,1566
Beale at Market,Temporary Transbay Terminal (Howard at Beale),37.792251,-122.397086,1550
Temporary Transbay Terminal (Howard at Beale),Market at 4th,37.789756,-122.394643,1536
2nd at South Park,San Francisco Caltrain 2 (330 Townsend),37.782259,-122.392738,1527
